4chID,name,lat,lon,earliest data,grouping
CHWN,Chitwan,27.6682,84.3853,2011 Mar 28 08:34,NEGAR Nepal
DLPA,Dolpa,28.9837,82.8179,2007 May 10 00:00,NEGAR Nepal
BRN2,Biratnagar 2,26.5197,87.2722,2009 May 21 06:07,"Met Sites, NEGAR Nepal"
BESI,Besisahar,28.2286,84.3797,2008 Jun 28 11:56,Nepal
JMSM,Jomsom,28.8053,83.7433,2004 May 02 11:02,NEGAR Nepal
LMJG,Lamjung,28.1741,84.5734,2011 Apr 20 08:02,NEGAR Nepal
DNSG,Dansing,28.3451,83.7635,2012 Apr 29 10:30,NEGAR Nepal
CHLM,Chilime,28.2072,85.3141,2004 Mar 31 08:58,NEGAR Nepal
SNDL,Sindhuli,27.3848,85.7989,2011 Apr 05 12:09,NEGAR Nepal
RMJT,Rumjartar,27.3051,86.55,2009 Nov 05 09:34,NEGAR Nepal
SYBC,Syangboche,27.8142,86.7125,2008 Oct 04 04:34,NEGAR Nepal
JIR2,JIR2,27.6571,86.187,2015 May 25 02:39,Nepal
HETA,Hetuada GoN Fish Farm,27.4149,85.0516,2015 Jun 11 05:44,Nepal
KUGE,KUGE_NGN_NEP2018,27.6184,85.5385,2018 Jun 07 04:52,Nepal
NAST,NAST_SciTec_2013,27.6567,85.3277,2014 Jan 18 00:00,NEGAR Nepal
DRCL,Darchula,29.7338,80.5009,2008 Mar 13 11:01,NEGAR Nepal